Nodes,Repetition,System Time,Object at Room,Worst Distance,Rooms Explored (Optimal),Traveled Distance (Optimal),Rooms Explored (Worst),Traveled Distance (Worst),Rooms Explored (OptimalExpected),Traveled Distance (OptimalExpected),Rooms Explored (WorstExpected),Traveled Distance (WorstExpected),Rooms Explored (MostProbable),Traveled Distance (MostProbable),Rooms Explored (Closest),Traveled Distance (Closest),Rooms Explored (Random),Traveled Distance (Random),Rooms Explored (ExpectedTimeFixed),Traveled Distance (ExpectedTimeFixed),Rooms Explored (ExpectedTimeVariable),Traveled Distance (ExpectedTimeVariable)
13,569,1412619793,4,1695.06,10,580.218,7,845.654,4,218.905,13,1597.69,2,110.697,7,398.837,3,195.017,2,110.697,2,110.697
13,570,1412619793,4,1695.06,10,580.218,7,845.654,4,218.905,13,1597.69,2,110.697,7,398.837,3,195.017,2,110.697,2,110.697
13,571,1412619793,3,1695.06,8,456.358,5,558.369,3,155.182,9,1132.07,3,174.42,12,726.026,11,1089.73,3,174.42,3,174.42
13,572,1412619793,2,1695.06,3,152.002,12,1553.44,7,400.672,12,1523.4,4,238.58,3,152.002,6,611.515,6,546.953,4,238.58
13,573,1412619793,11,1695.06,7,402.43,9,1129.31,2,101.254,5,576.779,6,460.034,13,779.954,2,101.254,5,443.793,7,475.698
13,574,1412619793,6,1695.06,13,764.824,10,1272.39,12,724.186,2,149.892,11,968.042,10,583.444,7,712.808,11,1045.72,10,717.831
13,575,1412619793,2,1695.06,3,152.002,12,1553.44,7,400.672,12,1523.4,4,238.58,3,152.002,6,611.515,6,546.953,4,238.58
13,576,1412619793,0,1695.06,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
13,577,1412619793,4,1695.06,10,580.218,7,845.654,4,218.905,13,1597.69,2,110.697,7,398.837,3,195.017,2,110.697,2,110.697
13,578,1412619793,10,1695.06,12,688.157,6,705.433,6,326.844,8,985.011,8,709.912,9,506.777,13,1287.8,7,620.781,8,589.696
13,579,1412619793,9,1695.06,4,210.608,2,144.933,8,459.278,7,858.986,7,583.887,4,210.608,10,1020.51,10,960.834,5,297.186
13,580,1412619793,3,1695.06,8,456.358,5,558.369,3,155.182,9,1132.07,3,174.42,12,726.026,11,1089.73,3,174.42,3,174.42
13,581,1412619793,12,1695.06,2,85.4049,8,983.661,11,641.153,4,431.132,10,885.008,2,85.4049,4,333.025,8,739.448,11,800.865
13,582,1412619793,0,1695.06,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
13,583,1412619793,5,1695.06,9,519.337,3,283.956,13,803.789,6,719.963,13,1240.72,11,663.047,12,1152.71,13,1318.4,13,1070.97
13,584,1412619793,2,1695.06,3,152.002,12,1553.44,7,400.672,12,1523.4,4,238.58,3,152.002,6,611.515,6,546.953,4,238.58
13,585,1412619793,7,1695.06,5,267.025,4,411.092,10,568.256,10,1279.35,5,337.939,6,319.586,8,815.483,4,321.698,6,353.603
13,586,1412619793,8,1695.06,6,324.001,11,1414.29,9,511.28,3,291.795,12,1109.94,5,262.61,5,472.362,12,1187.63,12,940.202
13,587,1412619793,3,1695.06,8,456.358,5,558.369,3,155.182,9,1132.07,3,174.42,12,726.026,11,1089.73,3,174.42,3,174.42
13,588,1412619793,11,1695.06,7,402.43,9,1129.31,2,101.254,5,576.779,6,460.034,13,779.954,2,101.254,5,443.793,7,475.698
13,589,1412619793,7,1695.06,5,267.025,4,411.092,10,568.256,10,1279.35,5,337.939,6,319.586,8,815.483,4,321.698,6,353.603
13,590,1412619793,3,1695.06,8,456.358,5,558.369,3,155.182,9,1132.07,3,174.42,12,726.026,11,1089.73,3,174.42,3,174.42
13,591,1412619793,0,1695.06,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
13,592,1412619793,9,1695.06,4,210.608,2,144.933,8,459.278,7,858.986,7,583.887,4,210.608,10,1020.51,10,960.834,5,297.186
13,593,1412619793,10,1695.06,12,688.157,6,705.433,6,326.844,8,985.011,8,709.912,9,506.777,13,1287.8,7,620.781,8,589.696
13,594,1412619793,8,1695.06,6,324.001,11,1414.29,9,511.28,3,291.795,12,1109.94,5,262.61,5,472.362,12,1187.63,12,940.202
13,595,1412619793,7,1695.06,5,267.025,4,411.092,10,568.256,10,1279.35,5,337.939,6,319.586,8,815.483,4,321.698,6,353.603
13,596,1412619793,11,1695.06,7,402.43,9,1129.31,2,101.254,5,576.779,6,460.034,13,779.954,2,101.254,5,443.793,7,475.698
